10001,10001,5
10001,10002,4
10001,10007,5
10001,10008,2
10001,10009,2
10001,10010,3
10001,10011,1
10001,10013,4
10001,10014,3
10001,10015,1
10001,10016,2
10001,10019,3
10001,10020,3
10001,10023,1
10001,10024,2
10001,10025,4
10001,10027,1
10001,10028,5
10001,10030,4
10001,10031,5
10001,10032,1
10001,10034,5
10001,10037,5
10001,10038,1
10001,10040,2
10001,10041,3
10001,10042,5
10001,10043,5
10001,10044,4
10001,10046,3
10001,10048,3
10001,10049,1
10002,10001,1
10002,10003,2
10002,10004,4
10002,10005,3
10002,10006,1
10002,10007,5
10002,10008,2
10002,10010,3
10002,10012,1
10002,10013,5
10002,10014,3
10002,10016,5
10002,10019,2
10002,10020,5
10002,10021,5
10002,10022,4
10002,10023,3
10002,10026,2
10002,10027,1
10002,10028,2
10002,10030,4
10002,10031,3
10002,10032,5
10002,10033,2
10002,10034,1
10002,10035,4
10002,10036,2
10002,10037,3
10002,10038,4
10002,10040,5
10002,10041,3
10002,10042,5
10002,10043,4
10002,10044,5
10002,10045,5
10002,10048,4
10002,10049,3
10002,10050,3
10003,10001,2
10003,10002,2
10003,10003,4
10003,10004,2
10003,10005,2
10003,10006,1
10003,10007,2
10003,10009,3
10003,10010,4
10003,10012,3
10003,10014,5
10003,10016,3
10003,10017,2
10003,10018,1
10003,10019,4
10003,10020,5
10003,10021,3
10003,10022,3
10003,10023,4
10003,10024,3
10003,10026,3
10003,10027,3
10003,10028,3
10003,10029,4
10003,10030,3
10003,10031,2
10003,10033,3
10003,10035,5
10003,10036,2
10003,10037,3
10003,10038,5
10003,10039,1
10003,10040,3
10003,10042,4
10003,10043,2
10003,10044,2
10003,10045,5
10003,10047,2
10003,10048,3
10003,10049,2
10004,10001,1
10004,10002,4
10004,10003,5
10004,10004,4
10004,10005,2
10004,10006,3
10004,10008,5
10004,10009,4
10004,10010,3
10004,10011,4
10004,10012,5
10004,10013,4
10004,10014,1
10004,10015,3
10004,10017,5
10004,10019,3
10004,10020,5
10004,10021,5
10004,10022,3
10004,10023,4
10004,10024,1
10004,10025,1
10004,10026,2
10004,10028,2
10004,10029,4
10004,10030,1
10004,10032,4
10004,10034,4
10004,10035,5
10004,10036,2
10004,10037,5
10004,10038,1
10004,10039,2
10004,10041,5
10004,10042,3
10004,10044,3
10004,10045,3
10004,10046,2
10004,10047,4
10004,10048,3
10004,10049,3
10005,10001,2
10005,10002,4
10005,10003,5
10005,10005,1
10005,10006,4
10005,10012,2
10005,10015,4
10005,10018,3
10005,10019,1
10005,10021,2
10005,10022,4
10005,10023,4
10005,10024,5
10005,10026,5
10005,10027,2
10005,10028,1
10005,10029,4
10005,10030,4
10005,10031,2
10005,10032,3
10005,10035,5
10005,10036,1
10005,10038,5
10005,10039,4
10005,10040,1
10005,10042,1
10005,10043,2
10005,10044,5
10005,10045,5
10005,10046,2
10005,10047,4
10005,10048,2
10005,10049,5
10005,10050,3
10006,10001,3
10006,10002,1
10006,10003,1
10006,10005,5
10006,10006,1
10006,10007,5
10006,10008,4
10006,10011,1
10006,10012,1
10006,10014,3
10006,10015,1
10006,10016,1
10006,10018,4
10006,10019,4
10006,10020,3
10006,10021,4
10006,10022,1
10006,10024,2
10006,10025,3
10006,10026,1
10006,10028,2
10006,10029,2
10006,10030,1
10006,10031,4
10006,10032,4
10006,10033,4
10006,10034,5
10006,10035,5
10006,10036,3
10006,10038,4
10006,10040,3
10006,10041,4
10006,10043,3
10006,10044,2
10006,10045,2
10006,10046,3
10006,10047,2
10006,10048,1
10006,10050,3
10007,10001,2
10007,10002,1
10007,10005,2
10007,10006,2
10007,10007,3
10007,10008,2
10007,10011,4
10007,10012,4
10007,10014,4
10007,10015,2
10007,10016,2
10007,10017,5
10007,10018,4
10007,10019,1
10007,10020,2
10007,10021,4
10007,10024,2
10007,10025,5
10007,10026,4
10007,10029,3
10007,10030,3
10007,10032,3
10007,10034,1
10007,10035,3
10007,10037,3
10007,10038,5
10007,10039,3
10007,10040,2
10007,10042,2
10007,10043,3
10007,10046,2
10007,10048,4
10007,10049,1
10007,10050,5
10008,10001,5
10008,10002,1
10008,10003,4
10008,10004,5
10008,10005,2
10008,10006,4
10008,10007,4
10008,10008,2
10008,10009,5
10008,10010,4
10008,10012,2
10008,10013,5
10008,10015,4
10008,10017,3
10008,10018,4
10008,10019,5
10008,10021,4
10008,10022,5
10008,10024,2
10008,10025,4
10008,10026,3
10008,10027,3
10008,10028,2
10008,10029,4
10008,10030,5
10008,10034,5
10008,10035,3
10008,10036,1
10008,10038,4
10008,10039,5
10008,10040,4
10008,10043,5
10008,10046,1
10008,10047,2
10008,10048,4
10008,10049,2
10008,10050,2
10009,10001,4
10009,10002,4
10009,10003,5
10009,10005,3
10009,10006,2
10009,10007,1
10009,10008,4
10009,10009,3
10009,10012,4
10009,10014,3
10009,10015,4
10009,10016,1
10009,10018,4
